TIME_PERIOD,REF_AREA,OBS_VALUE
2015-Q1,AT,1105441592.0
2015-Q2,AT,1079466162.0
2015-Q3,AT,1076298163.0
2015-Q4,AT,1056704852.0
2016-Q1,AT,1067528704.0
2016-Q2,AT,1061760415.0
2016-Q3,AT,1054583744.0
2016-Q4,AT,946247618.0
2017-Q1,AT,968670263.0
2017-Q2,AT,962044284.0
2017-Q3,AT,950841361.0
2017-Q4,AT,949283098.0
2018-Q1,AT,966907280.0
2018-Q2,AT,972449361.0
2018-Q3,AT,981438663.0
2018-Q4,AT,985981147.0
2019-Q1,AT,1007813275.0
2019-Q2,AT,1018963577.0
2019-Q3,AT,1032968465.0
2019-Q4,AT,1032282748.0
2020-Q1,AT,1061003537.0
2020-Q2,AT,1107020810.0
2015-Q1,BE,1067933689.0
2015-Q2,BE,1018988442.0
2015-Q3,BE,1008150421.0
2015-Q4,BE,970286793.0
2016-Q1,BE,1012618431.0
2016-Q2,BE,1039448990.0
2016-Q3,BE,1029687717.0
2016-Q4,BE,1021888738.0
2017-Q1,BE,1036625014.0
2017-Q2,BE,1051598957.0
2017-Q3,BE,1043683053.0
2017-Q4,BE,993775859.0
2018-Q1,BE,1029025440.0
2018-Q2,BE,1043423795.0
2018-Q3,BE,1038579068.0
2018-Q4,BE,993242025.0
2019-Q1,BE,1047714339.0
2019-Q2,BE,1054548777.0
2019-Q3,BE,1079520878.0
2019-Q4,BE,1047787382.0
2020-Q1,BE,1115379892.0
2020-Q2,BE,1135061355.0
2015-Q1,BG,44504861.0
2015-Q2,BG,43478238.0
2015-Q3,BG,44379300.0
2015-Q4,BG,45489624.0
2016-Q1,BG,45325735.0
2016-Q2,BG,46062653.0
2016-Q3,BG,46711140.0
2016-Q4,BG,48034483.0
2017-Q1,BG,48553972.0
2017-Q2,BG,48395789.0
2017-Q3,BG,49467960.0
2017-Q4,BG,50734429.0
2018-Q1,BG,51231376.0
2018-Q2,BG,52457515.0
2018-Q3,BG,54035102.0
2018-Q4,BG,55235906.0
2019-Q1,BG,56768100.0
2019-Q2,BG,55966627.0
2019-Q3,BG,57448161.0
2019-Q4,BG,58861771.0
2020-Q1,BG,59006666.0
2020-Q2,BG,59689926.0
2015-Q1,CY,78602099.0
2015-Q2,CY,74887090.0
2015-Q3,CY,73504893.0
2015-Q4,CY,73176434.0
2016-Q1,CY,68412627.0
2016-Q2,CY,66100246.0
2016-Q3,CY,66045538.0
2016-Q4,CY,67337744.0
2017-Q1,CY,68148189.0
2017-Q2,CY,66852048.0
2017-Q3,CY,67199045.0
2017-Q4,CY,67643040.0
2018-Q1,CY,65418462.0
2018-Q2,CY,65567258.0
2018-Q3,CY,59412196.0
2018-Q4,CY,59633839.0
2019-Q1,CY,58481619.0
2019-Q2,CY,59004917.0
2019-Q3,CY,58715239.0
2019-Q4,CY,57954950.0
2020-Q1,CY,56880766.0
2020-Q2,CY,58301203.7058
2015-Q1,CZ,187500170.0
2015-Q2,CZ,190363608.0
2015-Q3,CZ,200240987.0
2015-Q4,CZ,192527652.0
2016-Q1,CZ,207475279.0
2016-Q2,CZ,205943213.0
2016-Q3,CZ,210455508.0
2016-Q4,CZ,211192622.0
2017-Q1,CZ,250761563.0
2017-Q2,CZ,257792957.0
2017-Q3,CZ,268624149.0
2017-Q4,CZ,263294023.0
2018-Q1,CZ,274988865.0
2018-Q2,CZ,271465208.0
2018-Q3,CZ,281183959.0
2018-Q4,CZ,270770089.0
2019-Q1,CZ,288009246.0
2019-Q2,CZ,297770754.0
2019-Q3,CZ,299828602.0
2019-Q4,CZ,286549302.0
2020-Q1,CZ,298417456.0
2020-Q2,CZ,302976753.0
2015-Q1,DE,7498132464.0
2015-Q2,DE,7052667805.0
2015-Q3,DE,7099568058.0
2015-Q4,DE,6954899999.0
2016-Q1,DE,7075873353.0
2016-Q2,DE,7211168938.0
2016-Q3,DE,6971827447.0
2016-Q4,DE,7083596773.0
2017-Q1,DE,7174340487.0
2017-Q2,DE,7106035959.0
2017-Q3,DE,7021289317.0
2017-Q4,DE,6864067889.0
2018-Q1,DE,6931329245.0
2018-Q2,DE,6932337349.0
2018-Q3,DE,6910335046.0
2018-Q4,DE,7103610428.0
2019-Q1,DE,7493465988.0
2019-Q2,DE,7168666231.0
2019-Q3,DE,7343316880.0
2019-Q4,DE,6938073003.0
2020-Q1,DE,7477250045.0
2020-Q2,DE,7611503114.0
2015-Q1,DK,950202841.0
2015-Q2,DK,900570937.0
2015-Q3,DK,880637568.0
2015-Q4,DK,871289213.0
2016-Q1,DK,889188931.0
2016-Q2,DK,903123008.0
2016-Q3,DK,909424764.0
2016-Q4,DK,909337558.0
2017-Q1,DK,858376550.0
2017-Q2,DK,866003477.0
2017-Q3,DK,864017139.0
2017-Q4,DK,870186288.0
2018-Q1,DK,869131703.0
2018-Q2,DK,875931183.0
2018-Q3,DK,874394322.0
2018-Q4,DK,858870612.0
2019-Q1,DK,884189506.0
2019-Q2,DK,910973758.0
2019-Q3,DK,945162632.0
2019-Q4,DK,920450303.0
2020-Q1,DK,950257372.0
2020-Q2,DK,953721746.0
2015-Q1,EE,22119101.0
2015-Q2,EE,22741021.0
2015-Q3,EE,22342139.0
2015-Q4,EE,23340780.0
2016-Q1,EE,23364609.0
2016-Q2,EE,23954270.0
2016-Q3,EE,24235177.0
2016-Q4,EE,24808218.0
2017-Q1,EE,24865544.0
2017-Q2,EE,24616512.0
2017-Q3,EE,24586222.0
2017-Q4,EE,25324182.0
2018-Q1,EE,24852108.0
2018-Q2,EE,25782568.0
2018-Q3,EE,25795499.0
2018-Q4,EE,26558739.0
2019-Q1,EE,36788458.0
2019-Q2,EE,37672258.0
2019-Q3,EE,38113232.0
2019-Q4,EE,37605957.0
2020-Q1,EE,38084843.0
2020-Q2,EE,41582536.0
2015-Q1,ES,3703300797.0
2015-Q2,ES,3659169766.0
2015-Q3,ES,3672310376.0
2015-Q4,ES,3664395492.0
2016-Q1,ES,3624509907.0
2016-Q2,ES,3669847118.0
2016-Q3,ES,3597462544.0
2016-Q4,ES,3591237433.0
2017-Q1,ES,3629625480.0
2017-Q2,ES,3566354463.0
2017-Q3,ES,3547242754.0
2017-Q4,ES,3536446500.0
2018-Q1,ES,3530336889.0
2018-Q2,ES,3547987352.0
2018-Q3,ES,3526006874.0
2018-Q4,ES,3549702231.0
2019-Q1,ES,3643238700.0
2019-Q2,ES,3666062837.0
2019-Q3,ES,3683497489.0
2019-Q4,ES,3675298287.0
2020-Q1,ES,3767303532.0
2020-Q2,ES,3920199436.0
2015-Q1,FI,633724855.2208
2015-Q2,FI,598855799.7867
2015-Q3,FI,600119380.0869
2015-Q4,FI,547307289.0
2016-Q1,FI,599194840.0
2016-Q2,FI,597484223.0
2016-Q3,FI,592793759.0
2016-Q4,FI,537382402.0
2017-Q1,FI,442504018.0
2017-Q2,FI,426273891.0
2017-Q3,FI,433042298.0
2017-Q4,FI,418810061.0
2018-Q1,FI,428752652.0
2018-Q2,FI,433997030.0
2018-Q3,FI,450378123.0
2018-Q4,FI,800360465.0
2019-Q1,FI,869536387.0
2019-Q2,FI,856277657.0
2019-Q3,FI,868942447.0
2019-Q4,FI,817330444.0
2020-Q1,FI,888231425.0
2020-Q2,FI,886502917.0
2015-Q1,FR,7680254875.0
2015-Q2,FR,7145686665.0
2015-Q3,FR,7149228968.0
2015-Q4,FR,6940130534.0
2016-Q1,FR,7197158325.0
2016-Q2,FR,7415178223.0
