TIME_PERIOD,REF_AREA,OBS_VALUE
1997,AT,43.87
1998,AT,41.53
1999,AT,40.97
2000,AT,42.77
2001,AT,44.88
2002,AT,45.64
2003,AT,44.2
2004,AT,43.79
2005,AT,45.04
2006,AT,43.78
2007,AT,42.83
2008,AT,39.01
2009,AT,37.24
2010,AT,35.87
2011,AT,38.38
2012,AT,36.49
2013,AT,36.72
2014,AT,36.84
2015,AT,35.76
2016,AT,34.4533
2017,AT,36.0744
2018,AT,36.018
2019,AT,35.9861
1997,BE,53.9276
1998,BE,63.0479
1999,BE,75.6289
2000,BE,75.2602
2001,BE,78.2713
2002,BE,82.0128
2003,BE,83.4651
2004,BE,84.2613
2005,BE,85.2878
2006,BE,84.3943
2007,BE,83.4192
2008,BE,80.8431
2009,BE,77.1209
2010,BE,74.8648
2011,BE,70.7658
2012,BE,66.3492
2013,BE,63.9853
2014,BE,65.7876
2015,BE,65.4539
2016,BE,66.1882
2017,BE,68.7987
2018,BE,73.404
2019,BE,73.9789
2004,BG,52.3119
2005,BG,50.8463
2006,BG,50.3398
2007,BG,56.6906
2008,BG,57.3142
2009,BG,58.2897
2010,BG,55.1688
2011,BG,52.5771
2012,BG,50.3752
2013,BG,49.8533
2014,BG,55.025
2015,BG,57.6404
2016,BG,58.0339
2017,BG,56.4762
2018,BG,59.6923
2019,BG,62.5054
1997,CY,65.0036
1998,CY,60.2095
1999,CY,60.4607
2000,CY,62.8061
2001,CY,61.2506
2002,CY,57.7965
2003,CY,57.1984
2004,CY,57.3466
2005,CY,59.7925
2006,CY,63.9258
2007,CY,64.8962
2008,CY,63.7785
2009,CY,64.6856
2010,CY,64.2292
2011,CY,60.6758
2012,CY,62.5533
2013,CY,64.063
2014,CY,63.4043
2015,CY,67.505
2016,CY,65.78
2017,CY,84.1554
2018,CY,86.9162
2019,CY,85.7021
1997,CZ,66.6051
1998,CZ,65.2878
1999,CZ,65.0966
2000,CZ,66.0915
2001,CZ,68.3831
2002,CZ,65.7488
2003,CZ,65.7678
2004,CZ,63.9519
2005,CZ,65.4883
2006,CZ,64.061
2007,CZ,65.71
2008,CZ,62.0521
2009,CZ,62.6233
2010,CZ,62.6318
2011,CZ,61.8983
2012,CZ,61.3818
2013,CZ,62.0397
2014,CZ,60.8614
2015,CZ,62.5069
2016,CZ,63.8942
2017,CZ,63.6849
2018,CZ,64.4892
2019,CZ,64.7898
1997,DE,16.6847
1998,DE,19.1475
1999,DE,18.9455
2000,DE,19.947
2001,DE,20.1611
2002,DE,20.454
2003,DE,21.6324
2004,DE,22.1496
2005,DE,21.6302
2006,DE,21.9909
2007,DE,22.004
2008,DE,22.7358
2009,DE,25.0127
2010,DE,32.5984
2011,DE,33.5458
2012,DE,33.0053
2013,DE,30.5924
2014,DE,32.1209
2015,DE,30.5627
2016,DE,31.3505
2017,DE,29.7139
2018,DE,29.1015
2019,DE,31.2155
1997,DK,70.4031
1998,DK,71.3042
1999,DK,70.9215
2000,DK,59.9908
2001,DK,67.6446
2002,DK,68.009
