TIME_PERIOD,REF_AREA,OBS_VALUE
2015-Q1,AT,13050.0
2015-Q2,AT,12859.0
2015-Q3,AT,12830.0
2015-Q4,AT,12315.0
2016-Q1,AT,12181.0
2016-Q2,AT,11967.0
2016-Q3,AT,11789.0
2016-Q4,AT,10817.0
2017-Q1,AT,10110.0
2017-Q2,AT,10267.0
2017-Q3,AT,10153.0
2017-Q4,AT,10183.0
2018-Q1,AT,10101.0
2018-Q2,AT,10075.0
2018-Q3,AT,10580.0
2018-Q4,AT,10440.0
2019-Q1,AT,9936.0
2019-Q2,AT,9927.0
2019-Q3,AT,9933.0
2019-Q4,AT,9659.0
2020-Q1,AT,9509.0
2020-Q2,AT,9289.0
2020-Q3,AT,9196.0
2015-Q1,BE,7692.25
2015-Q2,BE,6849.2
2015-Q3,BE,6652.42
2015-Q4,BE,6295.16
2016-Q1,BE,6488.54
2016-Q2,BE,6433.05
2016-Q3,BE,6143.43
2016-Q4,BE,5889.39
2017-Q1,BE,5700.54
2017-Q2,BE,6361.85
2017-Q3,BE,6403.65
2017-Q4,BE,6361.64
2018-Q1,BE,6353.91
2018-Q2,BE,6435.51
2018-Q3,BE,6575.93
2018-Q4,BE,6743.25
2019-Q1,BE,6330.82
2019-Q2,BE,6965.96
2019-Q3,BE,6614.44
2019-Q4,BE,6418.87
2020-Q1,BE,5871.83
2020-Q2,BE,5744.32
2020-Q3,BE,6410.26
2015-Q1,BG,1580.0
2015-Q2,BG,1612.0
2015-Q3,BG,1618.0
2015-Q4,BG,1581.0
2016-Q1,BG,1550.0
2016-Q2,BG,1552.0
2016-Q3,BG,1565.0
2016-Q4,BG,1489.0
2017-Q1,BG,1485.0
2017-Q2,BG,1442.0
2017-Q3,BG,1491.0
2017-Q4,BG,1415.0
2018-Q1,BG,1401.0
2018-Q2,BG,1533.0
2018-Q3,BG,1534.0
2018-Q4,BG,1520.0
2019-Q1,BG,1512.0
2019-Q2,BG,1499.0
2019-Q3,BG,1532.0
2019-Q4,BG,1498.0
2020-Q1,BG,1430.0
2020-Q2,BG,1407.0
2020-Q3,BG,1408.0
2015-Q1,CY,2222.0
2015-Q2,CY,2209.0
2015-Q3,CY,2237.0
2015-Q4,CY,2200.0
2016-Q1,CY,2120.0
2016-Q2,CY,2066.0
2016-Q3,CY,2067.0
2016-Q4,CY,2016.0
2017-Q1,CY,2033.0
2017-Q2,CY,1983.0
2017-Q3,CY,1955.0
2017-Q4,CY,1847.0
2018-Q1,CY,1686.0
2018-Q2,CY,1638.0
2018-Q3,CY,1346.0
2018-Q4,CY,1336.0
2019-Q1,CY,1353.0
2019-Q2,CY,1285.0
2019-Q3,CY,1256.0
2019-Q4,CY,1219.0
2020-Q1,CY,1209.0
2020-Q2,CY,1033.0
2020-Q3,CY,1031.0
2015-Q1,CZ,48241.0
2015-Q2,CZ,58472.0
2015-Q3,CZ,58022.0
2015-Q4,CZ,57859.0
2016-Q1,CZ,53112.0
2016-Q2,CZ,51705.0
2016-Q3,CZ,51390.0
2016-Q4,CZ,51144.0
2017-Q1,CZ,49672.0
2017-Q2,CZ,47678.0
2017-Q3,CZ,45472.0
2017-Q4,CZ,44897.0
2018-Q1,CZ,42956.0
2018-Q2,CZ,41728.0
2018-Q3,CZ,41546.0
2018-Q4,CZ,42400.0
2019-Q1,CZ,39907.0
2019-Q2,CZ,39519.0
2019-Q3,CZ,39411.0
2019-Q4,CZ,39613.0
2020-Q1,CZ,36912.0
2020-Q2,CZ,35841.0
2020-Q3,CZ,35936.0
2015-Q1,DE,62260.0
2015-Q2,DE,61255.0
2015-Q3,DE,60391.0
2015-Q4,DE,59159.0
2016-Q1,DE,58514.0
2016-Q2,DE,57595.0
2016-Q3,DE,56854.0
2016-Q4,DE,55039.0
2017-Q1,DE,55025.0
2017-Q2,DE,54813.0
2017-Q3,DE,53630.0
2017-Q4,DE,53088.0
2018-Q1,DE,53358.0
2018-Q2,DE,53128.0
2018-Q3,DE,53716.0
2018-Q4,DE,55712.0
2019-Q1,DE,54683.0
2019-Q2,DE,56443.0
2019-Q3,DE,56374.0
2019-Q4,DE,56108.0
2020-Q1,DE,54550.0
2020-Q2,DE,51555.0
2020-Q3,DE,51554.0
2015-Q1,DK,69712.0
2015-Q2,DK,73278.0
2015-Q3,DK,75535.0
2015-Q4,DK,69684.0
2016-Q1,DK,72777.0
2016-Q2,DK,89371.0
2016-Q3,DK,71846.0
2016-Q4,DK,61995.0
2017-Q1,DK,69170.0
2017-Q2,DK,68436.0
2017-Q3,DK,68322.0
2017-Q4,DK,66316.0
2018-Q1,DK,66278.0
2018-Q2,DK,65242.0
2018-Q3,DK,64300.0
2018-Q4,DK,62024.0
2019-Q1,DK,58975.0
2019-Q2,DK,58876.0
2019-Q3,DK,58298.0
2019-Q4,DK,56539.0
2020-Q1,DK,54220.0
2020-Q2,DK,51111.0
2020-Q3,DK,51600.0
2015-Q1,EE,79.4
2015-Q2,EE,75.2
2015-Q3,EE,68.2
2015-Q4,EE,55.5
2016-Q1,EE,52.87
2016-Q2,EE,60.15
2016-Q3,EE,67.95
2016-Q4,EE,74.96
2017-Q1,EE,82.4
2017-Q2,EE,90.38
2017-Q3,EE,90.69
2017-Q4,EE,86.9
2018-Q1,EE,79.06
2018-Q2,EE,80.23
2018-Q3,EE,192.74
2018-Q4,EE,189.6
2019-Q1,EE,181.52
2019-Q2,EE,200.0
2019-Q3,EE,203.27
2019-Q4,EE,200.14
2020-Q1,EE,183.74
2020-Q2,EE,188.47
2020-Q3,EE,195.32
2015-Q1,ES,26456.0
2015-Q2,ES,33816.0
2015-Q3,ES,26986.0
2015-Q4,ES,28006.0
2016-Q1,ES,25322.0
2016-Q2,ES,33751.0
2016-Q3,ES,26473.0
2016-Q4,ES,26874.0
2017-Q1,ES,26136.0
2017-Q2,ES,30673.0
2017-Q3,ES,26071.0
2017-Q4,ES,27333.0
2018-Q1,ES,27210.0
2018-Q2,ES,34734.0
2018-Q3,ES,29026.0
2018-Q4,ES,29638.0
2019-Q1,ES,28328.0
2019-Q2,ES,35346.0
2019-Q3,ES,29468.0
2019-Q4,ES,32240.0
2020-Q1,ES,30802.0
2020-Q2,ES,38843.0
2020-Q3,ES,30102.0
2015-Q1,FI,5886.0
2015-Q2,FI,6012.0
2015-Q3,FI,6021.0
2015-Q4,FI,6202.0
2016-Q1,FI,6034.0
2016-Q2,FI,6076.0
2016-Q3,FI,6119.0
2016-Q4,FI,6073.0
2017-Q1,FI,5983.0
2017-Q2,FI,6113.0
2017-Q3,FI,6154.0
2017-Q4,FI,6207.0
2018-Q1,FI,6100.0
2018-Q2,FI,6277.0
2018-Q3,FI,6320.0
2018-Q4,FI,6361.0
2019-Q1,FI,6247.0
2019-Q2,FI,6383.0
2019-Q3,FI,6417.0
2019-Q4,FI,6528.0
2020-Q1,FI,6429.0
2020-Q2,FI,6117.0
2020-Q3,FI,6076.0
2015-Q1,FR,32825.0
2015-Q2,FR,32549.0
2015-Q3,FR,31278.0
2015-Q4,FR,32457.0
2016-Q1,FR,32041.0
2016-Q2,FR,31067.0
2016-Q3,FR,31624.0
2016-Q4,FR,31518.0
2017-Q1,FR,31471.0
2017-Q2,FR,30766.0
2017-Q3,FR,30201.0
2017-Q4,FR,31130.0
2018-Q1,FR,31144.0
2018-Q2,FR,31170.0
2018-Q3,FR,30112.0
2018-Q4,FR,31691.0
2019-Q1,FR,30186.0
2019-Q2,FR,31661.0
2019-Q3,FR,33560.0
2019-Q4,FR,33605.0
2020-Q1,FR,28903.0
2020-Q2,FR,32284.0
2020-Q3,FR,37851.0
2015-Q1,GR,15162.48
