TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,72165.0
2000-Q2,AT,74385.0
2000-Q3,AT,77187.0
2000-Q4,AT,78221.0
2001-Q1,AT,80027.0
2001-Q2,AT,82185.0
2001-Q3,AT,82511.0
2001-Q4,AT,83680.0
2002-Q1,AT,83081.0
2002-Q2,AT,83046.0
2002-Q3,AT,82061.0
2002-Q4,AT,80016.0
2003-Q1,AT,81631.0
2003-Q2,AT,82528.0
2003-Q3,AT,82720.0
2003-Q4,AT,83863.0
2004-Q1,AT,84288.0
2004-Q2,AT,84565.0
2004-Q3,AT,86173.0
2004-Q4,AT,86140.0
2005-Q1,AT,86398.0
2005-Q2,AT,86334.0
2005-Q3,AT,87759.0
2005-Q4,AT,89855.0
2006-Q1,AT,85569.0
2006-Q2,AT,87114.0
2006-Q3,AT,89148.0
2006-Q4,AT,89229.0
2007-Q1,AT,87259.0
2007-Q2,AT,89204.0
2007-Q3,AT,91469.0
2007-Q4,AT,94126.0
2008-Q1,AT,94651.0
2008-Q2,AT,95975.0
2008-Q3,AT,97428.0
2008-Q4,AT,101421.0
2009-Q1,AT,102068.0
2009-Q2,AT,102593.0
2009-Q3,AT,103480.0
2009-Q4,AT,104399.0
2010-Q1,AT,103812.0
2010-Q2,AT,105499.0
2010-Q3,AT,105008.0
2010-Q4,AT,106773.0
2011-Q1,AT,106501.0
2011-Q2,AT,106896.0
2011-Q3,AT,107973.0
2011-Q4,AT,109196.0
2012-Q1,AT,110707.0
2012-Q2,AT,112033.0
2012-Q3,AT,113025.0
2012-Q4,AT,113868.0
2013-Q1,AT,113852.0
2013-Q2,AT,114827.0
2013-Q3,AT,116331.0
2013-Q4,AT,115059.0
2014-Q1,AT,113482.0
2014-Q2,AT,113659.0
2014-Q3,AT,115159.0
2014-Q4,AT,114636.0
2015-Q1,AT,114062.0
2015-Q2,AT,113616.0
2015-Q3,AT,113917.0
2015-Q4,AT,116285.0
2016-Q1,AT,115426.0
2016-Q2,AT,115265.0
2016-Q3,AT,116456.0
2016-Q4,AT,115944.0
2017-Q1,AT,118335.0
2017-Q2,AT,118626.0
2017-Q3,AT,121323.0
2017-Q4,AT,124027.0
2018-Q1,AT,124483.0
2018-Q2,AT,126357.0
2018-Q3,AT,129000.0
2018-Q4,AT,130338.0
2019-Q1,AT,132854.0
2019-Q2,AT,135979.0
2019-Q3,AT,140225.0
2019-Q4,AT,142909.0
2020-Q1,AT,145878.0
2020-Q2,AT,149205.0
2020-Q3,AT,152685.0
2000-Q1,BE,46211.18
2000-Q2,BE,47802.64
2000-Q3,BE,48774.16
2000-Q4,BE,48496.08
2001-Q1,BE,46479.05
2001-Q2,BE,46089.91
2001-Q3,BE,48105.01
2001-Q4,BE,48817.26
2002-Q1,BE,51523.95
2002-Q2,BE,50760.54
2002-Q3,BE,51410.53
2002-Q4,BE,49878.43
2003-Q1,BE,50011.46
2003-Q2,BE,49783.18
2003-Q3,BE,50100.59
2003-Q4,BE,50116.41
2004-Q1,BE,49585.34
2004-Q2,BE,48370.46
2004-Q3,BE,47953.72
2004-Q4,BE,46771.73
2005-Q1,BE,45687.01
2005-Q2,BE,45268.94
2005-Q3,BE,46666.93
2005-Q4,BE,48521.17
2006-Q1,BE,49104.86
2006-Q2,BE,48666.62
2006-Q3,BE,48548.33
2006-Q4,BE,50277.42
2007-Q1,BE,52843.62
2007-Q2,BE,53657.46
2007-Q3,BE,54599.62
2007-Q4,BE,56372.68
2008-Q1,BE,58827.33
2008-Q2,BE,60218.21
2008-Q3,BE,60886.81
2008-Q4,BE,62441.59
2009-Q1,BE,62908.52
2009-Q2,BE,66626.76
2009-Q3,BE,66407.64
2009-Q4,BE,62642.77
2010-Q1,BE,64158.79
2010-Q2,BE,63217.45
2010-Q3,BE,59649.05
2010-Q4,BE,60415.42
2011-Q1,BE,61221.73
2011-Q2,BE,61293.21
2011-Q3,BE,61787.83
2011-Q4,BE,62273.48
2012-Q1,BE,63230.22
2012-Q2,BE,61743.56
2012-Q3,BE,61430.67
2012-Q4,BE,62890.24
2013-Q1,BE,62972.61
2013-Q2,BE,63169.08
2013-Q3,BE,63271.6
2013-Q4,BE,66421.0
2014-Q1,BE,65794.79
2014-Q2,BE,65368.28
2014-Q3,BE,65305.63
2014-Q4,BE,64864.68
2015-Q1,BE,65285.86
2015-Q2,BE,66627.91
2015-Q3,BE,67722.9
2015-Q4,BE,69651.36
2016-Q1,BE,68857.5
2016-Q2,BE,70455.35
2016-Q3,BE,71870.41
2016-Q4,BE,74924.95
2017-Q1,BE,76641.39
2017-Q2,BE,74645.44
2017-Q3,BE,76065.23
2017-Q4,BE,78800.76
2018-Q1,BE,81744.75
2018-Q2,BE,85137.07
2018-Q3,BE,84810.76
2018-Q4,BE,82208.56
