TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,57486.0
2000-Q2,AT,59430.0
2000-Q3,AT,61856.0
2000-Q4,AT,61851.0
2001-Q1,AT,63058.0
2001-Q2,AT,64773.0
2001-Q3,AT,66770.0
2001-Q4,AT,66799.0
2002-Q1,AT,68923.0
2002-Q2,AT,70036.0
2002-Q3,AT,71352.0
2002-Q4,AT,72626.0
2003-Q1,AT,73290.0
2003-Q2,AT,73798.0
2003-Q3,AT,75363.0
2003-Q4,AT,75839.0
2004-Q1,AT,76885.0
2004-Q2,AT,79346.0
2004-Q3,AT,80614.0
2004-Q4,AT,82138.0
2005-Q1,AT,83110.0
2005-Q2,AT,84509.0
2005-Q3,AT,86597.0
2005-Q4,AT,93574.0
2006-Q1,AT,97347.0
2006-Q2,AT,99137.0
2006-Q3,AT,100785.0
2006-Q4,AT,101544.0
2007-Q1,AT,104336.0
2007-Q2,AT,105385.0
2007-Q3,AT,106613.0
2007-Q4,AT,108728.0
2008-Q1,AT,110822.0
2008-Q2,AT,110896.0
2008-Q3,AT,112632.0
2008-Q4,AT,115076.0
2009-Q1,AT,113863.0
2009-Q2,AT,113672.0
2009-Q3,AT,114859.0
2009-Q4,AT,115834.0
2010-Q1,AT,116968.0
2010-Q2,AT,119681.0
2010-Q3,AT,120180.0
2010-Q4,AT,122125.0
2011-Q1,AT,121595.0
2011-Q2,AT,125065.0
2011-Q3,AT,126009.0
2011-Q4,AT,126808.0
2012-Q1,AT,127476.0
2012-Q2,AT,128054.0
2012-Q3,AT,128254.0
2012-Q4,AT,128622.0
2013-Q1,AT,127869.0
2013-Q2,AT,127685.0
2013-Q3,AT,128810.0
2013-Q4,AT,129210.0
2014-Q1,AT,131078.0
2014-Q2,AT,131881.0
2014-Q3,AT,132892.0
2014-Q4,AT,133273.0
2015-Q1,AT,136162.0
2015-Q2,AT,136982.0
2015-Q3,AT,137421.0
2015-Q4,AT,138920.0
2016-Q1,AT,139342.0
2016-Q2,AT,140831.0
2016-Q3,AT,142945.0
2016-Q4,AT,146511.0
2017-Q1,AT,147188.0
2017-Q2,AT,148127.0
2017-Q3,AT,148331.0
2017-Q4,AT,149311.0
2018-Q1,AT,149355.0
2018-Q2,AT,150434.0
2018-Q3,AT,152880.0
2018-Q4,AT,154603.0
2019-Q1,AT,155900.0
2019-Q2,AT,157966.0
2019-Q3,AT,160657.0
2019-Q4,AT,162337.0
2020-Q1,AT,163465.0
2020-Q2,AT,164794.0
2020-Q3,AT,167215.0
2000-Q1,BE,75419.41
2000-Q2,BE,75489.69
2000-Q3,BE,76434.06
2000-Q4,BE,77440.93
2001-Q1,BE,78106.49
2001-Q2,BE,79338.04
2001-Q3,BE,77254.5
2001-Q4,BE,77889.62
2002-Q1,BE,78067.07
2002-Q2,BE,79458.63
2002-Q3,BE,79567.2
2002-Q4,BE,81567.55
2003-Q1,BE,82769.85
2003-Q2,BE,84662.22
2003-Q3,BE,86379.08
2003-Q4,BE,88593.09
2004-Q1,BE,90324.99
2004-Q2,BE,91411.69
2004-Q3,BE,93402.33
2004-Q4,BE,97356.02
2005-Q1,BE,100252.55
2005-Q2,BE,104730.42
2005-Q3,BE,106847.47
2005-Q4,BE,110336.9
2006-Q1,BE,113461.13
2006-Q2,BE,117222.66
2006-Q3,BE,119886.47
2006-Q4,BE,122331.59
2007-Q1,BE,124620.26
2007-Q2,BE,127732.75
2007-Q3,BE,126861.19
2007-Q4,BE,129842.29
2008-Q1,BE,132096.7
2008-Q2,BE,120355.76
2008-Q3,BE,123027.83
2008-Q4,BE,105247.06
2009-Q1,BE,101531.1
2009-Q2,BE,95572.95
2009-Q3,BE,97983.54
2009-Q4,BE,94969.6
2010-Q1,BE,97185.42
2010-Q2,BE,97233.33
2010-Q3,BE,100702.68
2010-Q4,BE,100425.86
2011-Q1,BE,103094.59
2011-Q2,BE,106858.4
2011-Q3,BE,108623.95
2011-Q4,BE,99649.1
2012-Q1,BE,101961.79
2012-Q2,BE,104644.9
2012-Q3,BE,101043.61
2012-Q4,BE,104232.93
2013-Q1,BE,105836.65
2013-Q2,BE,109104.11
2013-Q3,BE,111374.19
2013-Q4,BE,112587.01
2014-Q1,BE,113903.93
2014-Q2,BE,119758.51
2014-Q3,BE,123306.08
2014-Q4,BE,131259.2
2015-Q1,BE,136235.13
2015-Q2,BE,140380.86
2015-Q3,BE,143736.85
2015-Q4,BE,146084.14
2016-Q1,BE,148808.74
2016-Q2,BE,149096.08
2016-Q3,BE,152252.35
2016-Q4,BE,157726.1
2017-Q1,BE,159155.84
2017-Q2,BE,159093.97
2017-Q3,BE,161004.4
2017-Q4,BE,165498.94
2018-Q1,BE,168389.29
2018-Q2,BE,173704.71
2018-Q3,BE,176914.13
2018-Q4,BE,180351.88
2019-Q1,BE,179336.91
2019-Q2,BE,183417.03
2019-Q3,BE,187381.24
2019-Q4,BE,193133.78
2020-Q1,BE,200116.08
2020-Q2,BE,202342.71
2020-Q3,BE,207919.86
2006-Q4,BG,8089.0
2007-Q1,BG,8792.0
2007-Q2,BG,9835.0
2007-Q3,BG,11015.0
2007-Q4,BG,12363.0
2008-Q1,BG,13085.0
2008-Q2,BG,14578.0
2008-Q3,BG,15670.0
2008-Q4,BG,16089.0
2009-Q1,BG,16245.0
2009-Q2,BG,16378.0
2009-Q3,BG,16850.0
2009-Q4,BG,17212.0
2010-Q1,BG,17211.0
2010-Q2,BG,17266.0
2010-Q3,BG,17263.0
2010-Q4,BG,17318.0
2011-Q1,BG,17297.0
2011-Q2,BG,17418.0
2011-Q3,BG,17463.0
2011-Q4,BG,17430.0
2012-Q1,BG,17322.0
2012-Q2,BG,17350.0
2012-Q3,BG,17273.0
2012-Q4,BG,17298.0
2013-Q1,BG,17155.0
2013-Q2,BG,17210.0
2013-Q3,BG,17169.0
2013-Q4,BG,17300.0
2014-Q1,BG,17193.0
2014-Q2,BG,17250.0
2014-Q3,BG,17182.0
2014-Q4,BG,17005.0
2015-Q1,BG,16901.0
2015-Q2,BG,16950.0
2015-Q3,BG,16977.0
2015-Q4,BG,16806.0
2016-Q1,BG,16616.0
2016-Q2,BG,16841.0
2016-Q3,BG,17074.0
2016-Q4,BG,17257.0
2017-Q1,BG,17537.0
2017-Q2,BG,18062.0
2017-Q3,BG,18276.0
2017-Q4,BG,18452.0
2018-Q1,BG,18811.0
2018-Q2,BG,19801.0
2018-Q3,BG,20165.0
2018-Q4,BG,20539.0
2019-Q1,BG,20890.0
2019-Q2,BG,21475.0
2019-Q3,BG,22078.0
2019-Q4,BG,22619.0
2020-Q1,BG,23141.0
2020-Q2,BG,23371.0
2020-Q3,BG,23948.0
2004-Q1,CY,6930.1
2004-Q2,CY,7168.7
2004-Q3,CY,7321.0
2004-Q4,CY,7467.2
2005-Q1,CY,7864.2
2005-Q2,CY,8316.1
2005-Q3,CY,8744.4
2005-Q4,CY,9962.7
