TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,40951.0
2000-Q2,AT,41958.0
2000-Q3,AT,42965.0
2000-Q4,AT,44314.0
2001-Q1,AT,42141.0
2001-Q2,AT,41967.0
2001-Q3,AT,41391.0
2001-Q4,AT,41909.0
2002-Q1,AT,40718.0
2002-Q2,AT,40673.0
2002-Q3,AT,40726.0
2002-Q4,AT,42587.0
2003-Q1,AT,39376.0
2003-Q2,AT,39605.0
2003-Q3,AT,38982.0
2003-Q4,AT,39757.0
2004-Q1,AT,38525.0
2004-Q2,AT,39372.0
2004-Q3,AT,39240.0
2004-Q4,AT,38734.0
2005-Q1,AT,39223.0
2005-Q2,AT,39918.0
2005-Q3,AT,40054.0
2005-Q4,AT,42159.0
2006-Q1,AT,43871.0
2006-Q2,AT,45916.0
2006-Q3,AT,46100.0
2006-Q4,AT,44586.0
2007-Q1,AT,43532.0
2007-Q2,AT,49669.0
2007-Q3,AT,51055.0
2007-Q4,AT,50992.0
2008-Q1,AT,53488.0
2008-Q2,AT,55874.0
2008-Q3,AT,56348.0
2008-Q4,AT,57321.0
2009-Q1,AT,55563.0
2009-Q2,AT,53193.0
2009-Q3,AT,52045.0
2009-Q4,AT,50097.0
2010-Q1,AT,49909.0
2010-Q2,AT,49559.0
2010-Q3,AT,49344.0
2010-Q4,AT,48901.0
2011-Q1,AT,49578.0
2011-Q2,AT,50296.0
2011-Q3,AT,51613.0
2011-Q4,AT,50817.0
2012-Q1,AT,50105.0
2012-Q2,AT,51211.0
2012-Q3,AT,51000.0
2012-Q4,AT,49284.0
2013-Q1,AT,49798.0
2013-Q2,AT,48896.0
2013-Q3,AT,46611.0
2013-Q4,AT,46519.0
2014-Q1,AT,48048.0
2014-Q2,AT,49734.0
2014-Q3,AT,49446.0
2014-Q4,AT,46461.0
2015-Q1,AT,46592.0
2015-Q2,AT,46975.0
2015-Q3,AT,46922.0
2015-Q4,AT,45456.0
2016-Q1,AT,45223.0
2016-Q2,AT,45719.0
2016-Q3,AT,42684.0
2016-Q4,AT,42232.0
2017-Q1,AT,43078.0
2017-Q2,AT,43333.0
2017-Q3,AT,42209.0
2017-Q4,AT,43821.0
2018-Q1,AT,46568.0
2018-Q2,AT,46267.0
2018-Q3,AT,46920.0
2018-Q4,AT,48099.0
2019-Q1,AT,49534.0
2019-Q2,AT,48195.0
2019-Q3,AT,43598.0
2019-Q4,AT,43068.0
2020-Q1,AT,45116.0
2020-Q2,AT,43382.0
2020-Q3,AT,38689.0
2000-Q1,BE,111546.17
2000-Q2,BE,117609.75
2000-Q3,BE,124144.13
2000-Q4,BE,130018.29
2001-Q1,BE,133384.78
2001-Q2,BE,140417.21
2001-Q3,BE,144951.24
2001-Q4,BE,150618.63
2002-Q1,BE,149491.0
2002-Q2,BE,148275.46
2002-Q3,BE,147342.69
2002-Q4,BE,145569.99
2003-Q1,BE,140458.3
2003-Q2,BE,141184.58
2003-Q3,BE,141325.06
2003-Q4,BE,141694.95
2004-Q1,BE,142851.42
2004-Q2,BE,143470.1
2004-Q3,BE,144836.26
2004-Q4,BE,144647.98
2005-Q1,BE,145457.7
2005-Q2,BE,145264.42
2005-Q3,BE,145445.41
2005-Q4,BE,146363.96
2006-Q1,BE,147064.47
2006-Q2,BE,149166.27
2006-Q3,BE,151186.14
2006-Q4,BE,149630.91
2007-Q1,BE,155184.34
2007-Q2,BE,161296.22
2007-Q3,BE,169576.49
2007-Q4,BE,173168.23
2008-Q1,BE,178328.23
2008-Q2,BE,185171.82
2008-Q3,BE,189647.89
2008-Q4,BE,200799.67
2009-Q1,BE,197273.99
2009-Q2,BE,196709.41
2009-Q3,BE,195868.0
2009-Q4,BE,194825.85
2010-Q1,BE,191328.93
2010-Q2,BE,198431.27
2010-Q3,BE,192523.99
2010-Q4,BE,192869.37
2011-Q1,BE,193309.88
2011-Q2,BE,196238.64
2011-Q3,BE,193079.89
2011-Q4,BE,194086.17
2012-Q1,BE,199552.96
2012-Q2,BE,204236.94
2012-Q3,BE,203640.22
2012-Q4,BE,199170.59
2013-Q1,BE,211002.79
2013-Q2,BE,217244.41
2013-Q3,BE,210760.71
2013-Q4,BE,202629.6
2014-Q1,BE,192432.41
2014-Q2,BE,189131.47
2014-Q3,BE,187991.49
2014-Q4,BE,196566.91
2015-Q1,BE,203488.89
2015-Q2,BE,184786.1
2015-Q3,BE,187722.68
2015-Q4,BE,176038.56
2016-Q1,BE,168988.47
2016-Q2,BE,178815.67
2016-Q3,BE,181163.45
2016-Q4,BE,220161.7
2017-Q1,BE,212149.84
2017-Q2,BE,205539.91
2017-Q3,BE,201182.23
2017-Q4,BE,210733.8
2018-Q1,BE,206402.45
2018-Q2,BE,207536.89
2018-Q3,BE,202474.32
2018-Q4,BE,213028.72
2019-Q1,BE,210425.56
2019-Q2,BE,217244.91
2019-Q3,BE,228952.83
2019-Q4,BE,210147.42
2020-Q1,BE,217928.32
2020-Q2,BE,216018.66
2020-Q3,BE,216625.33
2006-Q4,BG,8625.0
2007-Q1,BG,9328.0
2007-Q2,BG,10570.0
2007-Q3,BG,11735.0
2007-Q4,BG,12682.0
2008-Q1,BG,12926.0
2008-Q2,BG,14401.0
2008-Q3,BG,15248.0
2008-Q4,BG,15162.0
2009-Q1,BG,14710.0
2009-Q2,BG,14386.0
2009-Q3,BG,14137.0
2009-Q4,BG,13925.0
2010-Q1,BG,13504.0
2010-Q2,BG,13525.0
2010-Q3,BG,13345.0
2010-Q4,BG,13733.0
2011-Q1,BG,13463.0
2011-Q2,BG,13321.0
2011-Q3,BG,13576.0
2011-Q4,BG,13565.0
2012-Q1,BG,13391.0
2012-Q2,BG,13614.0
2012-Q3,BG,13563.0
2012-Q4,BG,13473.0
2013-Q1,BG,13377.0
2013-Q2,BG,13883.0
2013-Q3,BG,13934.0
2013-Q4,BG,13690.0
2014-Q1,BG,13599.0
2014-Q2,BG,13417.0
2014-Q3,BG,13665.0
2014-Q4,BG,13925.0
2015-Q1,BG,12875.0
2015-Q2,BG,12966.0
2015-Q3,BG,13063.0
2015-Q4,BG,13010.0
2016-Q1,BG,13073.0
2016-Q2,BG,13098.0
2016-Q3,BG,12910.0
2016-Q4,BG,13175.0
2017-Q1,BG,14179.0
2017-Q2,BG,14397.0
2017-Q3,BG,14615.0
2017-Q4,BG,14174.0
2018-Q1,BG,14630.0
2018-Q2,BG,14865.0
2018-Q3,BG,15102.0
2018-Q4,BG,14994.0
2019-Q1,BG,15137.0
2019-Q2,BG,15291.0
2019-Q3,BG,15673.0
2019-Q4,BG,15753.0
2020-Q1,BG,15710.0
2020-Q2,BG,15349.0
2020-Q3,BG,15872.0
2004-Q1,CY,2643.8
2004-Q2,CY,2732.4
2004-Q3,CY,2788.5
2004-Q4,CY,2845.2
2005-Q1,CY,2986.3
2005-Q2,CY,3146.4
2005-Q3,CY,3297.5
2005-Q4,CY,3925.7
2006-Q1,CY,4036.5
2006-Q2,CY,4322.4
2006-Q3,CY,4199.3
2006-Q4,CY,4227.2
2007-Q1,CY,4291.6
2007-Q2,CY,4689.0
2007-Q3,CY,4745.4
2007-Q4,CY,4823.7
2008-Q1,CY,5141.5
2008-Q2,CY,5316.2
2008-Q3,CY,5418.8
2008-Q4,CY,5661.4
2009-Q1,CY,5732.0
2009-Q2,CY,5457.7
2009-Q3,CY,5439.3
2009-Q4,CY,5573.9
2010-Q1,CY,5885.1
2010-Q2,CY,5920.1
2010-Q3,CY,5857.4
2010-Q4,CY,6014.4
2011-Q1,CY,6391.7
2011-Q2,CY,6556.3
2011-Q3,CY,6582.4
2011-Q4,CY,6614.3
2012-Q1,CY,6924.1
2012-Q2,CY,6798.1
2012-Q3,CY,6708.4
2012-Q4,CY,6662.2
2013-Q1,CY,6668.0
2013-Q2,CY,6562.7
2013-Q3,CY,6205.8
2013-Q4,CY,5843.2
2014-Q1,CY,5835.2
2014-Q2,CY,5915.2
2014-Q3,CY,5975.8
2014-Q4,CY,
2015-Q1,CY,6080.2
