TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,11948.0
2000-Q2,AT,11796.0
2000-Q3,AT,11644.0
2000-Q4,AT,11258.0
2001-Q1,AT,10940.0
2001-Q2,AT,11189.0
2001-Q3,AT,11494.0
2001-Q4,AT,11190.0
2002-Q1,AT,11218.0
2002-Q2,AT,11533.0
2002-Q3,AT,11782.0
2002-Q4,AT,12144.0
2003-Q1,AT,11984.0
2003-Q2,AT,12051.0
2003-Q3,AT,12153.0
2003-Q4,AT,11933.0
2004-Q1,AT,11853.0
2004-Q2,AT,12414.0
2004-Q3,AT,13099.0
2004-Q4,AT,11453.0
2005-Q1,AT,11472.0
2005-Q2,AT,12674.0
2005-Q3,AT,12920.0
2005-Q4,AT,15739.0
2006-Q1,AT,15199.0
2006-Q2,AT,15419.0
2006-Q3,AT,15503.0
2006-Q4,AT,15465.0
2007-Q1,AT,15416.0
2007-Q2,AT,15379.0
2007-Q3,AT,15793.0
2007-Q4,AT,16039.0
2008-Q1,AT,15767.0
2008-Q2,AT,15912.0
2008-Q3,AT,16084.0
2008-Q4,AT,15829.0
2009-Q1,AT,15471.0
2009-Q2,AT,15540.0
2009-Q3,AT,15768.0
2009-Q4,AT,15553.0
2010-Q1,AT,15485.0
2010-Q2,AT,15830.0
2010-Q3,AT,15826.0
2010-Q4,AT,16197.0
2011-Q1,AT,15344.0
2011-Q2,AT,15320.0
2011-Q3,AT,15218.0
2011-Q4,AT,14758.0
2012-Q1,AT,14180.0
2012-Q2,AT,14127.0
2012-Q3,AT,14486.0
2012-Q4,AT,13887.0
2013-Q1,AT,13388.0
2013-Q2,AT,13420.0
2013-Q3,AT,13704.0
2013-Q4,AT,13128.0
2014-Q1,AT,13371.0
2014-Q2,AT,13417.0
2014-Q3,AT,13618.0
2014-Q4,AT,12954.0
2015-Q1,AT,13464.0
2015-Q2,AT,13223.0
2015-Q3,AT,13144.0
2015-Q4,AT,12596.0
2016-Q1,AT,12396.0
2016-Q2,AT,12132.0
2016-Q3,AT,11904.0
2016-Q4,AT,10941.0
2017-Q1,AT,10175.0
2017-Q2,AT,10282.0
2017-Q3,AT,10168.0
2017-Q4,AT,10200.0
2018-Q1,AT,10103.0
2018-Q2,AT,10077.0
2018-Q3,AT,10582.0
2018-Q4,AT,10456.0
2019-Q1,AT,9938.0
2019-Q2,AT,9929.0
2019-Q3,AT,9935.0
2019-Q4,AT,9674.0
2020-Q1,AT,9511.0
2020-Q2,AT,9291.0
2020-Q3,AT,9198.0
2000-Q1,BE,8613.77
2000-Q2,BE,8724.62
2000-Q3,BE,8056.9
2000-Q4,BE,8226.19
2001-Q1,BE,7457.37
2001-Q2,BE,7582.9
2001-Q3,BE,6584.02
2001-Q4,BE,6871.86
2002-Q1,BE,6143.18
2002-Q2,BE,6288.97
2002-Q3,BE,6275.28
2002-Q4,BE,6443.7
2003-Q1,BE,5338.87
2003-Q2,BE,5944.11
2003-Q3,BE,5329.24
2003-Q4,BE,4961.52
2004-Q1,BE,4980.97
2004-Q2,BE,4926.22
2004-Q3,BE,4783.36
2004-Q4,BE,4826.88
2005-Q1,BE,5181.29
2005-Q2,BE,5390.0
2005-Q3,BE,5332.18
2005-Q4,BE,5611.73
2006-Q1,BE,5461.67
2006-Q2,BE,5426.75
2006-Q3,BE,5602.29
2006-Q4,BE,5698.09
2007-Q1,BE,6101.84
2007-Q2,BE,5670.65
2007-Q3,BE,5754.46
2007-Q4,BE,5778.89
2008-Q1,BE,5671.1
2008-Q2,BE,6260.24
2008-Q3,BE,6357.18
2008-Q4,BE,6041.12
2009-Q1,BE,5733.56
2009-Q2,BE,5833.42
2009-Q3,BE,5764.89
2009-Q4,BE,5722.93
2010-Q1,BE,5486.36
2010-Q2,BE,5723.42
2010-Q3,BE,5823.73
2010-Q4,BE,5599.9
2011-Q1,BE,5460.71
2011-Q2,BE,5661.07
2011-Q3,BE,5653.75
2011-Q4,BE,7317.27
2012-Q1,BE,7332.15
2012-Q2,BE,7874.73
2012-Q3,BE,7759.58
2012-Q4,BE,7463.12
2013-Q1,BE,7378.71
2013-Q2,BE,7775.94
2013-Q3,BE,7726.54
2013-Q4,BE,7213.57
2014-Q1,BE,7418.74
2014-Q2,BE,7728.72
2014-Q3,BE,7817.03
