TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,114151.0
2000-Q2,AT,117938.0
2000-Q3,AT,122341.0
2000-Q4,AT,124936.0
2001-Q1,AT,127248.0
2001-Q2,AT,130820.0
2001-Q3,AT,132319.0
2001-Q4,AT,138445.0
2002-Q1,AT,139484.0
2002-Q2,AT,141748.0
2002-Q3,AT,141848.0
2002-Q4,AT,141187.0
2003-Q1,AT,145480.0
2003-Q2,AT,146969.0
2003-Q3,AT,145799.0
2003-Q4,AT,149856.0
2004-Q1,AT,151628.0
2004-Q2,AT,152253.0
2004-Q3,AT,153784.0
2004-Q4,AT,149585.0
2005-Q1,AT,151411.0
2005-Q2,AT,153177.0
2005-Q3,AT,155998.0
2005-Q4,AT,156433.0
2006-Q1,AT,147700.0
2006-Q2,AT,152662.0
2006-Q3,AT,157387.0
2006-Q4,AT,159701.0
2007-Q1,AT,158671.0
2007-Q2,AT,165447.0
2007-Q3,AT,170361.0
2007-Q4,AT,178528.0
2008-Q1,AT,179931.0
2008-Q2,AT,181091.0
2008-Q3,AT,182634.0
2008-Q4,AT,186004.0
2009-Q1,AT,186029.0
2009-Q2,AT,185015.0
2009-Q3,AT,183889.0
2009-Q4,AT,185501.0
2010-Q1,AT,187009.0
2010-Q2,AT,191178.0
2010-Q3,AT,192005.0
2010-Q4,AT,196052.0
2011-Q1,AT,196147.0
2011-Q2,AT,196417.0
2011-Q3,AT,195721.0
2011-Q4,AT,200591.0
2012-Q1,AT,202296.0
2012-Q2,AT,204735.0
2012-Q3,AT,203402.0
2012-Q4,AT,204035.0
2013-Q1,AT,202976.0
2013-Q2,AT,204036.0
2013-Q3,AT,206717.0
2013-Q4,AT,221336.0
2014-Q1,AT,218461.0
2014-Q2,AT,220709.0
2014-Q3,AT,222568.0
2014-Q4,AT,216571.0
2015-Q1,AT,222469.0
2015-Q2,AT,222124.0
2015-Q3,AT,222952.0
2015-Q4,AT,227010.0
2016-Q1,AT,229263.0
2016-Q2,AT,230207.0
2016-Q3,AT,237380.0
2016-Q4,AT,240861.0
2017-Q1,AT,247749.0
2017-Q2,AT,249558.0
2017-Q3,AT,252332.0
2017-Q4,AT,256041.0
2018-Q1,AT,260246.0
2018-Q2,AT,261423.0
2018-Q3,AT,264081.0
2018-Q4,AT,265929.0
2019-Q1,AT,266688.0
2019-Q2,AT,273238.0
2019-Q3,AT,275481.0
2019-Q4,AT,278997.0
2020-Q1,AT,286573.0
2020-Q2,AT,289313.0
