TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,80563.0
2000-Q2,AT,82509.0
2000-Q3,AT,84932.0
2000-Q4,AT,84834.0
2001-Q1,AT,86113.0
2001-Q2,AT,88463.0
2001-Q3,AT,91120.0
2001-Q4,AT,88638.0
2002-Q1,AT,89523.0
2002-Q2,AT,90121.0
2002-Q3,AT,91386.0
2002-Q4,AT,92284.0
2003-Q1,AT,94018.0
2003-Q2,AT,94728.0
2003-Q3,AT,95640.0
2003-Q4,AT,96375.0
2004-Q1,AT,97619.0
2004-Q2,AT,100270.0
2004-Q3,AT,101823.0
2004-Q4,AT,103982.0
2005-Q1,AT,105108.0
2005-Q2,AT,106753.0
2005-Q3,AT,109151.0
2005-Q4,AT,116203.0
2006-Q1,AT,120540.0
2006-Q2,AT,122327.0
2006-Q3,AT,124171.0
2006-Q4,AT,124959.0
2007-Q1,AT,127929.0
2007-Q2,AT,128056.0
2007-Q3,AT,129453.0
2007-Q4,AT,130582.0
2008-Q1,AT,132788.0
2008-Q2,AT,132954.0
2008-Q3,AT,134836.0
2008-Q4,AT,137447.0
2009-Q1,AT,136377.0
2009-Q2,AT,136263.0
2009-Q3,AT,137560.0
2009-Q4,AT,138562.0
2010-Q1,AT,139840.0
2010-Q2,AT,142623.0
2010-Q3,AT,143274.0
2010-Q4,AT,145331.0
2011-Q1,AT,144951.0
2011-Q2,AT,148333.0
2011-Q3,AT,149359.0
2011-Q4,AT,150328.0
2012-Q1,AT,150436.0
2012-Q2,AT,151005.0
2012-Q3,AT,151079.0
2012-Q4,AT,151867.0
2013-Q1,AT,151341.0
2013-Q2,AT,151275.0
2013-Q3,AT,152552.0
2013-Q4,AT,152705.0
2014-Q1,AT,153941.0
2014-Q2,AT,154890.0
2014-Q3,AT,156053.0
2014-Q4,AT,156876.0
2015-Q1,AT,159576.0
2015-Q2,AT,160465.0
2015-Q3,AT,160950.0
2015-Q4,AT,162420.0
2016-Q1,AT,165381.0
2016-Q2,AT,167137.0
2016-Q3,AT,168807.0
2016-Q4,AT,171754.0
2017-Q1,AT,172934.0
2017-Q2,AT,173581.0
2017-Q3,AT,175050.0
2017-Q4,AT,175801.0
2018-Q1,AT,175933.0
2018-Q2,AT,177027.0
2018-Q3,AT,179813.0
2018-Q4,AT,180984.0
2019-Q1,AT,182286.0
2019-Q2,AT,184183.0
2019-Q3,AT,186620.0
2019-Q4,AT,187218.0
2020-Q1,AT,188239.0
2020-Q2,AT,189528.0
2020-Q3,AT,191932.0
2000-Q1,BE,94069.37
2000-Q2,BE,94233.3
2000-Q3,BE,95304.05
2000-Q4,BE,96345.04
2001-Q1,BE,97044.01
2001-Q2,BE,98225.78
2001-Q3,BE,96175.74
2001-Q4,BE,96501.53
2002-Q1,BE,96635.67
2002-Q2,BE,98498.22
2002-Q3,BE,98820.43
2002-Q4,BE,101088.12
2003-Q1,BE,102514.11
2003-Q2,BE,103810.1
2003-Q3,BE,104095.55
2003-Q4,BE,106226.81
2004-Q1,BE,107889.64
2004-Q2,BE,108857.18
2004-Q3,BE,111680.29
2004-Q4,BE,115444.37
2005-Q1,BE,118456.99
2005-Q2,BE,122882.1
2005-Q3,BE,125097.48
2005-Q4,BE,128618.58
2006-Q1,BE,132132.34
2006-Q2,BE,135904.6
2006-Q3,BE,138806.05
2006-Q4,BE,142301.72
2007-Q1,BE,145106.0
2007-Q2,BE,148720.97
2007-Q3,BE,152362.52
2007-Q4,BE,156037.35
2008-Q1,BE,159087.33
2008-Q2,BE,162445.88
2008-Q3,BE,165790.95
2008-Q4,BE,169371.97
2009-Q1,BE,171728.76
2009-Q2,BE,174243.81
2009-Q3,BE,176857.64
2009-Q4,BE,175407.5
2010-Q1,BE,177620.34
2010-Q2,BE,180344.18
2010-Q3,BE,183235.26
2010-Q4,BE,186839.65
2011-Q1,BE,189484.8
2011-Q2,BE,194044.2
2011-Q3,BE,196712.33
2011-Q4,BE,200942.15
2012-Q1,BE,202814.08
2012-Q2,BE,205487.65
2012-Q3,BE,205233.54
2012-Q4,BE,207535.97
2013-Q1,BE,209049.23
2013-Q2,BE,211361.0
2013-Q3,BE,213171.92
2013-Q4,BE,214194.59
2014-Q1,BE,215392.28
2014-Q2,BE,218000.95
2014-Q3,BE,220537.8
2014-Q4,BE,225187.47
2015-Q1,BE,226642.62
2015-Q2,BE,229143.48
2015-Q3,BE,231722.59
2015-Q4,BE,234988.62
2016-Q1,BE,236631.7
2016-Q2,BE,239736.28
2016-Q3,BE,242041.85
2016-Q4,BE,244570.37
2017-Q1,BE,247433.17
2017-Q2,BE,250714.66
2017-Q3,BE,253205.49
2017-Q4,BE,255361.0
2018-Q1,BE,257917.6
2018-Q2,BE,260712.32
2018-Q3,BE,262807.29
2018-Q4,BE,266906.87
2019-Q1,BE,271491.18
2019-Q2,BE,274806.55
2019-Q3,BE,278566.73
2019-Q4,BE,285525.83
2020-Q1,BE,287767.88
2020-Q2,BE,290213.65
2020-Q3,BE,293250.17
2006-Q4,BG,8914.0
2007-Q1,BG,9756.0
2007-Q2,BG,10880.0
2007-Q3,BG,12440.0
2007-Q4,BG,14229.0
2008-Q1,BG,15292.0
2008-Q2,BG,17111.0
2008-Q3,BG,18513.0
2008-Q4,BG,19075.0
2009-Q1,BG,18913.0
2009-Q2,BG,18870.0
2009-Q3,BG,19241.0
2009-Q4,BG,19101.0
2010-Q1,BG,19074.0
2010-Q2,BG,19163.0
2010-Q3,BG,19165.0
2010-Q4,BG,19187.0
2011-Q1,BG,19083.0
2011-Q2,BG,19276.0
2011-Q3,BG,19297.0
2011-Q4,BG,19255.0
2012-Q1,BG,19134.0
2012-Q2,BG,19143.0
2012-Q3,BG,19040.0
2012-Q4,BG,18939.0
2013-Q1,BG,18813.0
2013-Q2,BG,18881.0
2013-Q3,BG,18827.0
2013-Q4,BG,18990.0
2014-Q1,BG,18918.0
2014-Q2,BG,19043.0
2014-Q3,BG,18972.0
2014-Q4,BG,18825.0
2015-Q1,BG,18752.0
2015-Q2,BG,18852.0
2015-Q3,BG,18938.0
2015-Q4,BG,18830.0
2016-Q1,BG,18711.0
2016-Q2,BG,19000.0
2016-Q3,BG,19335.0
2016-Q4,BG,19575.0
2017-Q1,BG,19973.0
2017-Q2,BG,20586.0
2017-Q3,BG,20925.0
2017-Q4,BG,21178.0
2018-Q1,BG,21646.0
2018-Q2,BG,22274.0
2018-Q3,BG,22705.0
2018-Q4,BG,23133.0
2019-Q1,BG,23573.0
2019-Q2,BG,24249.0
2019-Q3,BG,24964.0
2019-Q4,BG,25548.0
2020-Q1,BG,26130.0
2020-Q2,BG,26318.0
2020-Q3,BG,26928.0
2004-Q1,CY,8199.0
2004-Q2,CY,8450.6
2004-Q3,CY,8597.8
2004-Q4,CY,8739.9
2005-Q1,CY,9151.8
2005-Q2,CY,9630.6
2005-Q3,CY,10048.9
2005-Q4,CY,11263.1
2006-Q1,CY,11531.5
2006-Q2,CY,11873.7
2006-Q3,CY,12289.9
2006-Q4,CY,12562.1
2007-Q1,CY,13031.7
2007-Q2,CY,13923.8
2007-Q3,CY,14560.3
2007-Q4,CY,15069.8
2008-Q1,CY,15444.3
2008-Q2,CY,16218.5
2008-Q3,CY,16916.0
2008-Q4,CY,17480.5
2009-Q1,CY,17716.1
2009-Q2,CY,18068.5
2009-Q3,CY,18464.5
2009-Q4,CY,18949.7
2010-Q1,CY,19405.9
2010-Q2,CY,19961.0
2010-Q3,CY,20346.3
2010-Q4,CY,20789.7
2011-Q1,CY,21053.0
2011-Q2,CY,21382.5
2011-Q3,CY,21634.2
2011-Q4,CY,21867.2
2012-Q1,CY,21986.2
2012-Q2,CY,22168.1
2012-Q3,CY,22198.9
2012-Q4,CY,22580.6
2013-Q1,CY,22474.9
